Date,x1,x2,y
6/14/19,19,6.4,83.75
6/15/19,39,11.01666667,77.09
6/16/19,38,6.15,77.31
6/17/19,50,5.45,75.4
6/18/19,49,3.833333333,72.14
6/19/19,33,6.4,74.72
6/20/19,51,8.35,71.03
6/21/19,26,7.916666667,78.5
6/22/19,26,7.916666667,78.52
6/23/19,25,7.966666667,86.54
6/24/19,65,8.316666667,70.63
6/25/19,43,6.683333333,71.85
6/26/19,52,7.05,71.06
6/27/19,20,6.383333333,86.72
6/28/19,32,7.466666667,77.6
6/29/19,45,9.633333333,74.67
6/30/19,31,7.9,82.5
7/1/19,44,6.2,75.21
7/2/19,33,6.466666667,77.57
7/3/19,31,6.683333333,79.21
7/4/19,24,6.866666667,82.5
7/5/19,24,6.866666667,82.45
7/6/19,22,6.9,85.78
7/7/19,20,5.333333333,93.52
7/8/19,55,6.016666667,70.24
7/9/19,42,5.983333333,72.76
7/10/19,27,7.166666667,79.27
7/11/19,37,6.4,75.5
7/12/19,37,6.4,75.45
7/13/19,24,7.533333333,81.86
7/14/19,45,7.133333333,74.19
7/15/19,46,7.566666667,71.74
7/16/19,28,4.9,82.32
7/17/19,35,7.483333333,78.08
7/18/19,27,6.483333333,78.09
7/19/19,43,6.866666667,78.12
7/20/19,35,7.9,75.99
7/21/19,19,8.233333333,86.62
7/22/19,38,5.933333333,73.89
7/23/19,30,5.466666667,77.97
7/24/19,33,6.8,75.63
7/25/19,39,4.816666667,73.44
7/26/19,39,4.666666667,70.11
7/27/19,41,9.7,71.76
7/28/19,40,9.15,73.26
7/29/19,33,4.883333333,73.16
7/30/19,35,6.1,71.98
7/31/19,19,4.016666667,80.21
8/1/19,48,5.133333333,72.17
8/2/19,48,6.55,68.63
8/3/19,45,7.833333333,72.1
8/4/19,24,6.6,80.3
8/5/19,24,6.6,80.27
8/6/19,31,4.633333333,78.81
8/7/19,53,5.183333333,67.67
8/8/19,47,5.833333333,67.13
8/9/19,55,5.05,66.16
8/10/19,52,7.416666667,69.52
8/11/19,45,8.733333333,71.07
8/12/19,40,5.266666667,68.31
8/13/19,33,4.616666667,73.59
8/14/19,52,5.666666667,67.3
8/15/19,61,3.8,66.5
8/16/19,26,7.65,78.2
8/17/19,26,7.65,78.16
8/18/19,,,
8/19/19,,,
8/20/19,25,6.266666667,79.9
8/21/19,25,6.266666667,79.92
8/22/19,30,3.6,75.46
8/23/19,52,6.033333333,68.4
8/24/19,53,7.35,68.2
8/25/19,53,7.35,68.2
8/26/19,31,6.25,79.51
8/27/19,74,5.55,60.29
8/28/19,35,4.65,69.65
8/29/19,46,5.4,71.13
8/30/19,33,3.9,77.23
8/31/19,28,6.65,77.03
9/1/19,24,8.8,82.54
9/2/19,26,5.633333333,78.4
9/3/19,26,5.633333333,78.37
9/4/19,30,5.25,72.03
9/5/19,29,6.7,79.27
9/6/19,52,5.033333333,64.65
9/7/19,44,7.266666667,77.2
9/8/19,44,7.266666667,77.24
9/9/19,29,7.566666667,78.54
9/10/19,50,6.666666667,71.55
9/11/19,21,4.75,82.51
9/12/19,48,10.01666667,70.62
9/13/19,50,8.2,71.25
9/14/19,22,8.15,85.58
9/15/19,35,6.666666667,77.91
9/16/19,40,5.3,72.3
9/17/19,39,4.5,73.32
9/18/19,,,
9/19/19,47,4.566666667,69.3
9/20/19,50,7.883333333,69.42
9/21/19,36,6.85,73.85
9/22/19,33,8,76.46
9/23/19,30,4.533333333,78.04
9/24/19,31,6.35,78.89
9/25/19,,,
9/26/19,,,
9/27/19,33,9.016666667,74.28
9/28/19,26,6.916666667,79.84
9/29/19,56,8.133333333,69.46
9/30/19,22,4.45,79.1
10/1/19,39,5,74.47
10/2/19,36,5.333333333,72.67
10/3/19,33,4.133333333,71.29
10/4/19,23,7.566666667,81.04
10/5/19,,,
10/6/19,26,7.566666667,84.13
10/7/19,36,7.266666667,77.52
10/8/19,23,4.866666667,78.34
10/9/19,49,7.2,68.77
10/10/19,25,7.533333333,82.41
10/11/19,50,7.3,71.3
10/12/19,35,7.666666667,74.88
10/13/19,12,9.183333333,97.74
10/14/19,29,10.08333333,81.08
10/15/19,23,8.35,87.12
10/16/19,43,7.783333333,74.46
10/17/19,45,6.333333333,67.88
10/18/19,45,5.35,75.92
10/19/19,24,8.25,84.11
10/20/19,,,
10/21/19,39,6.166666667,72.37
10/22/19,27,6.733333333,77.8
10/23/19,33,5.233333333,75.25
10/24/19,22,6.483333333,80.28
10/25/19,30,6.483333333,75.22
10/26/19,32,11.03333333,78.65
10/27/19,55,8.116666667,69.27
10/28/19,56,6.083333333,68.29
10/29/19,29,5.15,77.33
10/30/19,28,5.216666667,73.56
10/31/19,18,5.75,83.67
11/1/19,38,5.9,70.45
11/2/19,51,8.816666667,70.04
11/3/19,35,8.733333333,78.27
11/4/19,29,6.016666667,79.58
11/5/19,31,5.633333333,75.46
11/6/19,27,5.916666667,79.36
11/7/19,41,4.25,71.56
11/8/19,43,8.316666667,68.4
11/9/19,48,11.08333333,69.92
11/10/19,42,6.483333333,74.64
11/11/19,32,6.9,75.56
11/12/19,44,6.6,76.31
11/13/19,48,6.45,72.88
11/14/19,44,6.183333333,70.07
11/15/19,36,6.1,70.81
11/16/19,49,8.533333333,71.52
11/17/19,19,7.316666667,89.38
11/18/19,38,8.2,76.95
11/19/19,42,7.283333333,70.17
11/20/19,26,7.183333333,80.65
11/21/19,30,5.366666667,73.84
11/22/19,,,
11/23/19,26,6.833333333,79.38
11/24/19,,,
11/25/19,35,6.933333333,78.38
11/26/19,59,6.683333333,71.25
11/27/19,57,5.6,66.64
11/28/19,42,5.016666667,69.33
11/29/19,,,
11/30/19,53,10.06666667,71.73
12/1/19,40,7.816666667,72.91
12/2/19,34,7.033333333,74.89
12/3/19,29,9.45,80.68
12/4/19,48,5.45,67.86
12/5/19,29,6.183333333,78.47
12/6/19,53,5.266666667,66.6
12/7/19,17,7.033333333,90.92
12/8/19,,,
12/9/19,40,7.033333333,76.39
12/10/19,53,4.75,70.11
12/11/19,49,5.783333333,68.76
12/12/19,34,5.6,76.17
12/13/19,15,6.35,90.26
12/14/19,60,10.03333333,66.45
12/15/19,27,7.166666667,82.7
12/16/19,41,5.383333333,68.84
12/17/19,53,6,68.59
12/18/19,43,7.033333333,72.63
12/19/19,,,
12/20/19,55,6.416666667,68.22
12/21/19,20,8.666666667,84.6
12/22/19,29,8.766666667,79.86
12/23/19,46,7.333333333,73.49
12/24/19,53,5.833333333,69.03
12/25/19,50,5.7,67.96
12/26/19,53,5.683333333,68.17
12/27/19,51,4.8,62.69
12/28/19,22,5.166666667,84.85
12/29/19,24,7.533333333,82.31
12/30/19,41,6.833333333,73.75
12/31/19,20,7.4,84.46
1/1/20,,,
1/2/20,,,
1/3/20,,,
1/4/20,21,7.066666667,87.13
1/5/20,,,
1/6/20,,,
1/7/20,63,5.766666667,69.16
1/8/20,46,5,72.97
1/9/20,,,
1/10/20,,,
1/11/20,,,
1/12/20,,,
1/13/20,,,
1/14/20,35,6.45,75.32
1/15/20,45,5.6,2.5
1/16/20,45,5.216666667,67.97
1/17/20,64,6.3,62.95
1/18/20,,,
1/19/20,40,7.9,75.81
1/20/20,26,7.366666667,78.33
1/21/20,26,7.066666667,79.16
1/22/20,,,
1/23/20,47,7.35,72.22
1/24/20,20,7.05,95.86
1/25/20,44,7.266666667,70.8
1/26/20,34,5.3,76.76
1/27/20,,,
1/28/20,31,5.516666667,71.58
1/29/20,,,
1/30/20,44,4.5,68.09
1/31/20,47,4.666666667,69.43
2/1/20,,,
2/2/20,,,
2/3/20,42,7.283333333,72.78
2/4/20,24,5.55,79.78
2/5/20,41,4.583333333,70.6
2/6/20,26,5.116666667,77
2/7/20,52,5,62.89
2/8/20,53,5.666666667,72.06
2/9/20,53,5.6,65.34
2/10/20,52,4.833333333,65.3
2/11/20,,,
2/12/20,35,4.833333333,79.64
2/13/20,20,6.133333333,88.95
2/14/20,60,4.45,63.4
2/15/20,28,7.2,81.06
2/16/20,,,
2/17/20,37,6.616666667,72.62
2/18/20,,,
2/19/20,,,
2/20/20,55,4.616666667,65.57
2/21/20,41,7.616666667,73.65
2/22/20,,,
2/23/20,38,8.5,76.37
2/24/20,54,4.916666667,69.96
2/25/20,49,6.883333333,63.49
2/26/20,22,5.916666667,78.68
2/27/20,19,5.483333333,83.62
2/28/20,,,
2/29/20,65,6.183333333,68.53
,,,
,,,
